Gene,GeneName,LRT_stat,stat_full,LRT_day2,LRT_day7,log2FoldChange,x_lrt,y_stat_full,panel_lineage
ENSG00000108953,YWHAE,5.82,8.76,0.33,6.53,-1.04,5.82,8.76,mesoderm
ENSG00000108960,MMD,0.64,9.2,1.88,3.9,0.14,0.64,9.2,mesoderm
ENSG00000108961,RANGRF,4.61,2.22,8.92,0.12,1.28,4.61,2.22,mesoderm
ENSG00000108963,DPH1,6.37,4.06,0.17,0.42,-0.02,6.37,4.06,mesoderm
ENSG00000108984,MAP2K6,14.82,8.23,6.69,2.97,-0.85,14.82,8.23,mesoderm
ENSG00000109016,DHRS7B,1.71,5.31,0.72,0.17,-0.05,1.71,5.31,mesoderm
ENSG00000109046,WSB1,7.95,0.95,1.44,0.0,0.62,7.95,0.95,mesoderm
ENSG00000109061,MYH1,0.0,0.22,0.0,0.27,-2.64,0.0,0.22,mesoderm
ENSG00000109062,SLC9A3R1,3.41,1.98,0.38,1.82,-1.32,3.41,1.98,mesoderm
ENSG00000109063,MYH3,9.93,8.56,1.61,4.48,0.7,9.93,8.56,mesoderm
ENSG00000109065,NAT9,1.94,3.85,0.71,2.44,-0.64,1.94,3.85,mesoderm
ENSG00000109066,TMEM104,6.33,1.06,1.8,0.0,-1.42,6.33,1.06,mesoderm
ENSG00000109072,VTN,0.0,0.4,0.72,0.0,-3.0,0.0,0.4,mesoderm
ENSG00000109079,TNFAIP1,9.52,1.18,20.1,0.25,2.29,9.52,1.18,mesoderm
ENSG00000109083,IFT20,3.38,5.99,0.38,0.37,-0.21,3.38,5.99,mesoderm
ENSG00000109084,TMEM97,2.28,5.16,2.29,1.23,-0.71,2.28,5.16,mesoderm
ENSG00000109089,CDR2L,5.36,0.68,3.64,0.93,1.43,5.36,0.68,mesoderm
ENSG00000109099,PMP22,21.0,5.92,16.93,0.04,2.41,21.0,5.92,mesoderm
ENSG00000109101,FOXN1,4.76,0.18,0.2,0.58,-3.64,4.76,0.18,mesoderm
ENSG00000109103,UNC119,1.6,3.96,1.1,1.97,-0.49,1.6,3.96,mesoderm
ENSG00000109107,ALDOC,0.8,1.26,0.39,1.0,-0.75,0.8,1.26,mesoderm
ENSG00000109111,SUPT6H,1.13,1.41,0.05,0.41,0.08,1.13,1.41,mesoderm
ENSG00000109113,RAB34,1.49,3.4,0.33,0.93,0.32,1.49,3.4,mesoderm
ENSG00000109118,PHF12,8.42,5.8,2.21,0.45,-0.5,8.42,5.8,mesoderm
ENSG00000109133,TMEM33,1.22,0.72,3.13,1.33,-0.08,1.22,0.72,mesoderm
ENSG00000109158,GABRA4,0.0,0.08,0.39,0.38,-1.91,0.0,0.08,mesoderm
ENSG00000109163,GNRHR,0.0,0.02,0.0,0.0,-2.92,0.0,0.02,mesoderm
ENSG00000109171,SLAIN2,0.23,1.49,0.8,0.9,-0.02,0.23,1.49,mesoderm
ENSG00000109180,OCIAD1,5.32,1.46,0.03,2.31,-1.06,5.32,1.46,mesoderm
ENSG00000109181,UGT2B10,4.91,0.14,0.0,0.36,-4.48,4.91,0.14,mesoderm
ENSG00000109182,CWH43,0.0,0.02,0.62,0.0,-2.95,0.0,0.02,mesoderm
ENSG00000109184,DCUN1D4,3.7,1.6,1.37,4.94,-1.42,3.7,1.6,mesoderm
ENSG00000109189,USP46,2.34,0.68,0.19,0.1,-0.24,2.34,0.68,mesoderm
