sn_sample,lysate_sample,log10_enrichment_factor
24L006479,24L006460,-0.644508317540372
24L006479,24L006460,0.4870451902924684
24L006479,24L006460,-0.11002495020224962
24L006479,24L006460,-0.23655167273191918
24L006479,24L006460,-0.017200623285653156
24L006479,24L006460,0.7677313674632165
24L006479,24L006460,-0.03841767746804143
24L006479,24L006460,-0.41709532167829144
24L006479,24L006460,0.7081128416238828
24L006479,24L006460,-0.1613751075660474
24L006479,24L006460,0.42042717791042244
24L006479,24L006460,-0.4074604634683042
24L006479,24L006460,-0.5148998264768654
24L006479,24L006460,-0.953889614334656
24L006479,24L006460,-0.5871843896919637
24L006479,24L006460,-1.811354245328337
24L006479,24L006460,-0.19567511887329228
24L006479,24L006460,-0.6770439593630657
24L006479,24L006460,-1.462898288093966
24L006479,24L006460,-0.42306102897311254
24L006479,24L006460,-0.2999791806949421
24L006479,24L006460,0.030509555670118604
24L006479,24L006460,-0.05593614634495013
24L006479,24L006460,0.246908048468929
24L006479,24L006460,-0.39399636782996794
24L006479,24L006460,0.5826226162338751
24L006479,24L006460,0.2764362558404789
24L006479,24L006460,-0.005038235483696708
24L006479,24L006460,0.0199798810472322
24L006479,24L006460,-1.0108251735412952
24L006479,24L006460,-0.4303684076381378
24L006479,24L006460,-0.22333340071822574
24L006479,24L006460,-0.4199162741323012
24L006479,24L006460,-0.051805894376845726
24L006479,24L006460,-0.10883581830029686
24L006479,24L006460,-0.8132417079239985
24L006479,24L006460,-0.403480813396625
24L006479,24L006460,-1.2807979803302225
24L006479,24L006460,-0.10043191293249175
24L006479,24L006460,-0.04981371436106127
24L006479,24L006460,-0.031079053536000024
24L006479,24L006460,-0.4990727239270636
24L006479,24L006460,0.4099856245714517
24L006479,24L006460,-0.4882742322525874
24L006479,24L006460,-0.8570638190266142
24L006479,24L006460,-0.05879530407296987
24L006479,24L006460,-0.199855976990107
24L006479,24L006460,-1.1281020390313692
24L006479,24L006460,-0.12137668952086891
24L006479,24L006460,-0.351524041678844
24L006479,24L006460,0.27300957506232953
24L006479,24L006460,-0.13854027831491647
24L006479,24L006460,0.5765762973100999
24L006479,24L006460,0.14422615194418195
24L006479,24L006460,-0.08222191522679584
24L006479,24L006460,-0.4988515400761391
24L006479,24L006460,-0.3233894490506436
24L006479,24L006460,-0.03706841228492374
24L006479,24L006460,0.2376257652073893
24L006479,24L006460,-0.3410147662963931
24L006479,24L006460,-0.402819454280758
24L006479,24L006460,0.1830851249610994
24L006479,24L006460,-0.16850350169235975
24L006479,24L006460,-0.31878065144410306
24L006479,24L006460,-0.8705105427538606
24L006479,24L006460,0.1471706276826696
24L006479,24L006460,-0.4693166901040706
24L006479,24L006460,-0.26498020716077064
24L006479,24L006460,0.20365235333695797
24L006479,24L006460,-0.29600973117419116
24L006479,24L006460,-1.1491783656139944
24L006479,24L006460,-1.2881798794477823
24L006479,24L006460,-0.5152234185515973
24L006479,24L006460,-0.059892563638942256
24L006479,24L006460,0.5388589276989588
24L006479,24L006460,0.01225288627620057
24L006479,24L006460,-0.8527817757934291
24L006479,24L006460,-0.23813112997074432
24L006479,24L006460,-0.3414084333084263
24L006479,24L006460,0.4603577006051711
24L006479,24L006460,-0.8298907824713929
24L006479,24L006460,0.47002760355086054
24L006479,24L006460,0.3755495116131379
24L006479,24L006460,-0.3354661183916624
24L006479,24L006460,0.02930700705655785
24L006479,24L006460,0.6306039421823209
24L006479,24L006460,0.6502050492468284
24L006479,24L006460,-0.6027428137369513
24L006479,24L006460,-0.3931815413275802
24L006479,24L006460,-0.3394006812326383
24L006479,24L006460,-0.09154371563869287
24L006479,24L006460,-0.31441741754171687
24L006479,24L006460,-0.5815448087435084
24L006479,24L006460,0.27680335200542117
24L006479,24L006460,0.04330330962985616
24L006479,24L006460,-0.14450069939304488
24L006479,24L006460,-0.45391742054668394
24L006479,24L006460,0.14107880466681502
24L006479,24L006460,-0.7696100470129994
24L006479,24L006460,-0.6310985032154255
24L006479,24L006460,-0.38029868936331807
24L006479,24L006460,-0.4703221575615261
24L006479,24L006460,0.4459882716564725
24L006479,24L006460,-1.3856409804057184
24L006479,24L006460,-0.03491433610698403
24L006479,24L006460,-0.16132420432363756
24L006479,24L006460,-0.057086792715093454
24L006479,24L006460,-0.33379469665760697
24L006479,24L006460,-1.5853410126547505
24L006479,24L006460,-1.0597141066017635
24L006479,24L006460,-0.7384126213568208
