pathway,fisher_pval,stouffer_pval,min_pval,n_timepoints,n_significant,mean_NES,fisher_padj
TARTE_PLASMA_CELL_VS_PLASMABLAST_DN,0.6716554877964633,0.5659966638938015,0.0842751313650408,10,0,0.03221068782481542,0.8605072753186962
GRAESSMANN_RESPONSE_TO_MC_AND_DOXORUBICIN_UP,0.6794657352236143,0.4045084805819148,0.25,10,0,-0.23837078465365685,0.8683903542857899
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_MONOCYTE_UP,0.684414061431998,0.4253289006356763,0.146086956521739,10,0,0.03008490982901042,0.8708901403076883
KEGG_MAPK_SIGNALING_PATHWAY,0.6855339809763563,0.5739475033697339,0.128644939965695,10,0,0.11287730288320588,0.8708901403076883
CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_HYPOMETHYLATED_AND_UP,0.6864076869218994,0.6873360253606845,0.028298278163689,10,0,0.13432228958995293,0.8708901403076883
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_UP,0.6894265710995835,0.6487295300687238,0.0972222222222222,10,0,0.09686348091723655,0.8715834419325363
RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4_DN,0.692928269552744,0.6092080581854247,0.175925925925926,10,0,-0.0986191087756209,0.8715834419325363
ZHOU_INFLAMMATORY_RESPONSE_LIVE_DN,0.6931663687917513,0.5270380628793072,0.130034522439586,10,0,-0.17559564858677498,0.8715834419325363
OSWALD_HEMATOPOIETIC_STEM_CELL_IN_COLLAGEN_GEL_DN,0.6936074337516558,0.7357119080293472,0.142228739002933,10,0,-0.12452502386360838,0.8715834419325363
MOOTHA_HUMAN_MITODB_6_2002,0.6985709943039567,0.49301397774250233,0.13003663003663,10,0,-0.25148518891209914,0.875720576591563
CHAUHAN_RESPONSE_TO_METHOXYESTRADIOL_DN,0.7017841598597061,0.6241021037345528,0.16025641025641,10,0,-0.26895156111527635,0.8774248412369726
SMID_BREAST_CANCER_RELAPSE_IN_BONE_DN,0.7041202079499003,0.6325518688266234,0.0605738575982997,10,0,-0.1493253005356431,0.8774248412369726
AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN,0.7049539277877204,0.9390008877176363,0.0166876192993273,10,0,0.07384188481827916,0.8774248412369726
JIANG_MELANOMA_TRM6_CD8,0.7094733763938648,0.8591742693053803,0.0874125874125874,10,0,0.012959506751968431,0.8809574626312444
