panel,stem,replicate_pair,log10_export_ratio
a,suppl6a_ipsc_export_ratio,1,-0.3571829026087695
a,suppl6a_ipsc_export_ratio,1,-1.1113943623209557
a,suppl6a_ipsc_export_ratio,1,0.40271026117284203
a,suppl6a_ipsc_export_ratio,1,-0.11400298836575616
a,suppl6a_ipsc_export_ratio,1,0.21191116742512114
a,suppl6a_ipsc_export_ratio,1,-1.5912780995031381
a,suppl6a_ipsc_export_ratio,1,-0.11680162503291967
a,suppl6a_ipsc_export_ratio,1,0.10951730375400777
a,suppl6a_ipsc_export_ratio,1,-2.0239532261169404
a,suppl6a_ipsc_export_ratio,1,0.39962556930320237
a,suppl6a_ipsc_export_ratio,1,0.15325271029361084
a,suppl6a_ipsc_export_ratio,1,-0.2425905806819668
a,suppl6a_ipsc_export_ratio,1,0.5834868796546356
a,suppl6a_ipsc_export_ratio,1,0.30254278375091787
a,suppl6a_ipsc_export_ratio,1,0.759829531041359
a,suppl6a_ipsc_export_ratio,1,0.42125249592988756
a,suppl6a_ipsc_export_ratio,1,-1.0383098336636991
a,suppl6a_ipsc_export_ratio,1,-0.43563026052441994
a,suppl6a_ipsc_export_ratio,1,-0.2718404040075157
a,suppl6a_ipsc_export_ratio,1,-0.20131802684544461
a,suppl6a_ipsc_export_ratio,1,0.0850055570731992
a,suppl6a_ipsc_export_ratio,1,-0.5801652097117882
a,suppl6a_ipsc_export_ratio,1,-0.13660728114049703
