condition,dataset,recall,precision
IFNg,original,1.0,0.002175834636567621
IFNg,original,1.0,0.002175982592139263
IFNg,original,1.0,0.00217613056783407
IFNg,original,1.0,0.002176278563656148
IFNg,original,1.0,0.0021764265796096033
IFNg,original,1.0,0.0021765746156985444
IFNg,original,1.0,0.00217672267192708
IFNg,original,1.0,0.0021768707482993197
IFNg,original,1.0,0.0021770188448193757
IFNg,original,1.0,0.0021771669614913595
IFNg,original,1.0,0.0021773150983193847
IFNg,original,1.0,0.002177463255307567
IFNg,original,1.0,0.0021776114324600204
IFNg,original,1.0,0.002177759629780863
IFNg,original,1.0,0.0021779078472742124
IFNg,original,1.0,0.0021780560849441874
IFNg,original,1.0,0.0021782043427949083
IFNg,original,1.0,0.002178352620830497
IFNg,original,1.0,0.0021785009190550754
IFNg,original,1.0,0.002178649237472767
IFNg,original,1.0,0.0021787975760876968
IFNg,original,1.0,0.00217894593490399
IFNg,original,1.0,0.0021790943139257746
IFNg,original,1.0,0.002179242713157178
IFNg,original,1.0,0.0021793911326023294
IFNg,original,1.0,0.002179539572265359
IFNg,original,1.0,0.0021796880321503986
IFNg,original,1.0,0.0021798365122615805
IFNg,original,1.0,0.002179985012603038
IFNg,original,1.0,0.002180133533178907
IFNg,original,1.0,0.0021802820739933227
IFNg,original,1.0,0.0021804306350504225
IFNg,original,1.0,0.002180579216354344
IFNg,original,1.0,0.0021807278179092273
IFNg,original,1.0,0.002180876439719212
IFNg,original,1.0,0.0021810250817884407
IFNg,original,1.0,0.002181173744121055
IFNg,original,1.0,0.0021813224267212
IFNg,original,1.0,0.0021814711295930194
IFNg,original,1.0,0.00218161985274066
IFNg,original,1.0,0.002181768596168269
IFNg,original,1.0,0.0021819173598799945
IFNg,original,1.0,0.0021820661438799864
IFNg,original,1.0,0.002182214948172395
IFNg,original,1.0,0.0021823637727613724
IFNg,original,1.0,0.0021825126176510706
IFNg,original,1.0,0.0021826614828456448
IFNg,original,1.0,0.00218281036834925
IFNg,original,1.0,0.0021829592741660414
IFNg,original,1.0,0.0021831082003001775
IFNg,original,1.0,0.0021832571467558163
IFNg,original,1.0,0.002183406113537118
IFNg,original,1.0,0.002183555100648243
IFNg,original,1.0,0.0021837041080933536
IFNg,original,1.0,0.0021838531358766124
IFNg,original,1.0,0.002184002184002184
IFNg,original,1.0,0.002184151252474234
IFNg,original,1.0,0.0021843003412969283
IFNg,original,1.0,0.0021844494504744353
IFNg,original,1.0,0.002184598580010923
IFNg,original,1.0,0.002184747729910562
IFNg,original,1.0,0.0021848969001775228
IFNg,original,1.0,0.002185046090815978
IFNg,original,1.0,0.002185195301830101
IFNg,original,1.0,0.002185344533224066
IFNg,original,1.0,0.0021854937850020488
IFNg,original,1.0,0.002185643057168226
IFNg,original,1.0,0.002185792349726776
IFNg,original,1.0,0.002185941662681877
IFNg,original,1.0,0.00218609099603771
IFNg,original,1.0,0.002186240349798456
IFNg,original,1.0,0.002186389723968297
IFNg,original,1.0,0.0021865391185514177
IFNg,original,1.0,0.002186688533552002
IFNg,original,1.0,0.0021868379689742364
IFNg,original,1.0,0.002186987424822307
IFNg,original,1.0,0.002187136901100403
IFNg,original,1.0,0.0021872863978127134
IFNg,original,1.0,0.002187435914963429
IFNg,original,1.0,0.0021875854525567405
IFNg,original,1.0,0.0021877350105968417
IFNg,original,1.0,0.0021878845890879258
IFNg,original,1.0,0.002188034188034188
IFNg,original,1.0,0.002188183807439825
IFNg,original,1.0,0.0021883334473090338
IFNg,original,1.0,0.002188483107646013
IFNg,original,1.0,0.002188632788454962
IFNg,original,1.0,0.002188782489740082
IFNg,original,1.0,0.002188932211505575
IFNg,original,1.0,0.0021890819537556437
IFNg,original,1.0,0.002189231716494493
IFNg,original,1.0,0.0021893814997263274
IFNg,original,1.0,0.002189531303455354
IFNg,original,1.0,0.002189681127685781
IFNg,original,1.0,0.002189830972421816
IFNg,original,1.0,0.0021899808376676703
IFNg,original,1.0,0.0021901307234275546
IFNg,original,1.0,0.002190280629705681
IFNg,original,1.0,0.002190430556506263
IFNg,original,1.0,0.002190580503833516
IFNg,original,1.0,0.0021907304716916546
IFNg,original,1.0,0.0021908804600848965
IFNg,original,1.0,0.00219103046901746
IFNg,original,1.0,0.0021911804984935633
IFNg,original,1.0,0.002191330548517428
IFNg,original,1.0,0.002191480619093275
IFNg,original,1.0,0.002191630710225327
IFNg,original,1.0,0.002191780821917808
IFNg,original,1.0,0.0021919309541749434
IFNg,original,1.0,0.002192081107000959
IFNg,original,1.0,0.0021922312804000823
IFNg,original,1.0,0.0021923814743765417
IFNg,original,1.0,0.0021925316889345667
IFNg,original,1.0,0.002192681924078388
IFNg,original,1.0,0.002192832179812239
IFNg,original,1.0,0.0021929824561403508
IFNg,original,1.0,0.002193132753066959
IFNg,original,1.0,0.0021932830705962986
IFNg,original,1.0,0.0021934334087326066
IFNg,original,1.0,0.0021935837674801205
IFNg,original,1.0,0.0021937341468430795
