experiment,panel,sample_type,sample_num,label,position_relative_to_tes_bp,mean,ci_lower,ci_upper
SPAM,coverage,SN,1,NTVE-SN,-1915.0,0.4260010796369938,0.4029372027686945,0.4490649565052931
SPAM,coverage,SN,1,NTVE-SN,-1905.0,0.4289093501576977,0.40568026150496583,0.4521384388104296
SPAM,coverage,SN,1,NTVE-SN,-1895.0,0.4303097544435977,0.40721103119858365,0.45340847768861176
SPAM,coverage,SN,1,NTVE-SN,-1885.0,0.43406718609779976,0.41048469310335156,0.45764967909224796
SPAM,coverage,SN,1,NTVE-SN,-1875.0,0.43285703338460846,0.40897858482283556,0.45673548194638136
SPAM,coverage,SN,1,NTVE-SN,-1865.0,0.4306485083607506,0.40737818084883204,0.4539188358726691
SPAM,coverage,SN,1,NTVE-SN,-1855.0,0.43681240593529413,0.412995239837785,0.46062957203280325
SPAM,coverage,SN,1,NTVE-SN,-1845.0,0.45015901749506987,0.4257724621354573,0.47454557285468246
SPAM,coverage,SN,1,NTVE-SN,-1835.0,0.4534140446057221,0.4294242951287583,0.4774037940826859
SPAM,coverage,SN,1,NTVE-SN,-1825.0,0.4609751425752456,0.43669100642108805,0.4852592787294031
SPAM,coverage,SN,1,NTVE-SN,-1815.0,0.47002203148277355,0.4456548921295075,0.4943891708360396
SPAM,coverage,SN,1,NTVE-SN,-1805.0,0.4739800160197564,0.4499396244775677,0.49802040756194516
SPAM,coverage,SN,1,NTVE-SN,-1795.0,0.47472929254809065,0.4509397939989161,0.4985187910972652
SPAM,coverage,SN,1,NTVE-SN,-1785.0,0.47474964327576874,0.45136964328402507,0.4981296432675124
SPAM,coverage,SN,1,NTVE-SN,-1775.0,0.4790232306124475,0.45563252119446956,0.5024139400304254
SPAM,coverage,SN,1,NTVE-SN,-1765.0,0.48271820722657977,0.4591464227686443,0.5062899916845153
SPAM,coverage,SN,1,NTVE-SN,-1755.0,0.4733235771180179,0.45081667594240576,0.4958304782936301
SPAM,coverage,SN,1,NTVE-SN,-1745.0,0.46843969554759607,0.44667329863656563,0.4902060924586265
SPAM,coverage,SN,1,NTVE-SN,-1735.0,0.47053620628641946,0.44828621125955415,0.49278620131328477
SPAM,coverage,SN,1,NTVE-SN,-1725.0,0.47287248403090637,0.4504213663400096,0.4953236017218031
SPAM,coverage,SN,1,NTVE-SN,-1715.0,0.4770943511412517,0.45374169869127545,0.500447003591228
SPAM,coverage,SN,1,NTVE-SN,-1705.0,0.47906323412123186,0.45530604224668103,0.5028204259957827
SPAM,coverage,SN,1,NTVE-SN,-1695.0,0.48073038109752325,0.456585662950095,0.5048750992449516
SPAM,coverage,SN,1,NTVE-SN,-1685.0,0.4868655387662466,0.4620214123817185,0.5117096651507748
SPAM,coverage,SN,1,NTVE-SN,-1675.0,0.4874630136843062,0.4627229048778131,0.5122031224907994
SPAM,coverage,SN,1,NTVE-SN,-1665.0,0.4877342607856229,0.463388041474347,0.5120804800968988
SPAM,coverage,SN,1,NTVE-SN,-1655.0,0.4935605314154986,0.46918917834627877,0.5179318844847185
SPAM,coverage,SN,1,NTVE-SN,-1645.0,0.492189928504382,0.46836960366343805,0.5160102533453259
SPAM,coverage,SN,1,NTVE-SN,-1635.0,0.4886698192774251,0.465621141174106,0.5117184973807442
