panel,stem,n_replicates,bin_center,mean_density,se_density,ci95_lower,ci95_upper
b,suppl6b_cm_export_ratio,3,-0.05750078435941042,0.5553898858172689,0.017605741167121138,0.5208826331297115,0.5898971385048263
b,suppl6b_cm_export_ratio,3,-0.0007902602979434903,0.4482500544253714,0.14815849533485445,0.1578594035690567,0.7386407052816861
b,suppl6b_cm_export_ratio,3,0.05592026376352344,0.6195688882888873,0.013338590778540618,0.5934252503629477,0.645712526214827
b,suppl6b_cm_export_ratio,3,0.11263078782499059,0.46404181066595607,0.08222886929629257,0.30287322684522267,0.6252103944866895
b,suppl6b_cm_export_ratio,3,0.16934131188645773,0.5261672143466185,0.05763046902751451,0.41321149505269006,0.639122933640547
b,suppl6b_cm_export_ratio,3,0.22605183594792466,0.5662850500212605,0.01901227730575618,0.5290209865019784,0.6035491135405426
b,suppl6b_cm_export_ratio,3,0.2827623600093916,0.5092593681144019,0.024232895674719066,0.46176289259195247,0.5567558436368513
b,suppl6b_cm_export_ratio,3,0.33947288407085874,0.5118464633562652,0.08632859427051741,0.34264241858605105,0.6810505081264793
b,suppl6b_cm_export_ratio,3,0.3961834081323259,0.3890948809668498,0.03784179647980689,0.3149249598664283,0.4632648020672713
b,suppl6b_cm_export_ratio,3,0.4528939321937928,0.5815559956210018,0.05671896955349024,0.47038681529616094,0.6927251759458427
b,suppl6b_cm_export_ratio,3,0.5096044562552597,0.475660915248002,0.039325188654587076,0.39858354548501135,0.5527382850109926
b,suppl6b_cm_export_ratio,3,0.5663149803167267,0.4205124980657898,0.05654526997815251,0.3096837689086108,0.5313412272229687
b,suppl6b_cm_export_ratio,3,0.6230255043781938,0.4975784806324819,0.076156491184026,0.3483117579117909,0.6468452033531729
b,suppl6b_cm_export_ratio,3,0.679736028439661,0.39347066236259937,0.07167562196574145,0.2529864433097461,0.5339548814154527
b,suppl6b_cm_export_ratio,3,0.7364465525011279,0.39160750749878265,0.11780092962847763,0.1607176854269665,0.6224973295705988
b,suppl6b_cm_export_ratio,3,0.7931570765625948,0.436304254306378,0.10392083077688039,0.23261942598369242,0.6399890826290635
b,suppl6b_cm_export_ratio,3,0.849867600624062,0.40579959746185956,0.049571200609426214,0.3086400442673842,0.5029591506563349
b,suppl6b_cm_export_ratio,3,0.9065781246855291,0.2501966270782317,0.03029446403419394,0.1908194775712116,0.3095737765852518
b,suppl6b_cm_export_ratio,3,0.963288648746996,0.42795895098928627,0.16030861482391323,0.11375406593441634,0.7421638360441563
b,suppl6b_cm_export_ratio,3,1.019999172808463,0.2810561991813574,0.019824742201692253,0.24219970446604056,0.3199126938966742
b,suppl6b_cm_export_ratio,3,1.0767096968699301,0.31684959767604437,0.07968539431361404,0.16066622482136084,0.4730329705307279
b,suppl6b_cm_export_ratio,3,1.1334202209313973,0.2627286919146988,0.0591501148138091,0.14679446687963293,0.3786629169497646
b,suppl6b_cm_export_ratio,3,1.1901307449928642,0.24121738600462242,0.07140340930259988,0.10126670377152666,0.3811680682377182
